offset	lvo	binaries
-30	socket	358
-36	bind	152
-42	listen	113
-48	accept	105
-54	connect	284
-60	sendto	108
-66	send	379
-72	recvfrom	91
-78	recv	344
-84	shutdown	109
-90	setsockopt	176
-96	getsockopt	70
-102	getsockname	89
-108	getpeername	62
-114	IoctlSocket	163
-120	CloseSocket	374
-126	WaitSelect	241
-132	SetSocketSignals	19
-138	getdtablesize	17
-144	ObtainSocket	98
-150	ReleaseSocket	27
-156	ReleaseCopyOfSocket	9
-162	Errno	128
-168	SetErrnoPtr	38
-174	Inet_NtoA	180
-180	inet_addr	166
-186	Inet_LnaOf	64
-192	Inet_NetOf	63
-198	Inet_MakeAddr	51
-204	inet_network	19
-210	gethostbyname	317
-216	gethostbyaddr	113
-222	getnetbyname	29
-228	getnetbyaddr	8
-234	getservbyname	96
-240	getservbyport	17
-246	getprotobyname	26
-252	getprotobynumber	5
-258	vsyslog	144
-264	Dup2Socket	53
-270	sendmsg	8
-276	recvmsg	2
-282	gethostname	133
-288	gethostid	13
-294	SocketBaseTagList	219
-300	GetSocketEvents	2
-306	reserved	0
-312	reserved	0
-318	reserved	0
-324	reserved	0
-330	reserved	0
-336	reserved	0
-342	reserved	0
-348	reserved	0
-354	reserved	1
-360	reserved	0
-366	bpf_open	2
-372	bpf_close	7
-378	bpf_read	0
-384	bpf_write	6
-390	bpf_set_notify_mask	0
-396	bpf_set_interrupt_mask	0
-402	bpf_ioctl	0
-408	bpf_data_waiting	0
-414	AddRouteTagList	0
-420	DeleteRouteTagList	0
-426	ChangeRouteTagList	0
-432	FreeRouteInfo	0
-438	GetRouteInfo	0
-444	AddInterfaceTagList	0
-450	ConfigureInterfaceTagList	0
-456	ReleaseInterfaceList	5
-462	ObtainInterfaceList	5
-468	QueryInterfaceTagList	5
-474	CreateAddrAllocMessageA	0
-480	DeleteAddrAllocMessage	0
-486	BeginInterfaceConfig	0
-492	AbortInterfaceConfig	1
-498	AddNetMonitorHookTagList	0
-504	RemoveNetMonitorHook	0
-510	GetNetworkStatistics	0
-516	AddDomainNameServer	0
-522	RemoveDomainNameServer	0
-528	ReleaseDomainNameServerList	0
-534	ObtainDomainNameServerList	0
-540	setnetent	0
-546	endnetent	0
-552	getnetent	0
-558	setprotoent	0
-564	endprotoent	0
-570	getprotoent	0
-576	setservent	0
-582	endservent	0
-588	getservent	1
-594	inet_aton	0
-600	inet_ntop	0
-606	inet_pton	1
-612	In_LocalAddr	1
-618	In_CanForward	0
-624	mbuf_copym	0
-630	mbuf_copyback	0
-636	mbuf_copydata	0
-642	mbuf_free	0
-648	mbuf_freem	0
-654	mbuf_get	0
-660	mbuf_gethdr	0
-666	mbuf_prepend	0
-672	mbuf_cat	0
-678	mbuf_adj	0
-684	mbuf_pullup	0
-690	ProcessIsServer	10
-696	ObtainServerSocket	0
-702	GetDefaultDomainName	0
-708	SetDefaultDomainName	0
-714	ObtainRoadshowData	0
-720	ReleaseRoadshowData	0
-726	ChangeRoadshowData	0
-732	RemoveInterface	0
-738	gethostbyname_r	0
-744	gethostbyaddr_r	0
-750	reserved	0
-756	reserved	0
-762	ipf_open	0
-768	ipf_close	0
-774	ipf_ioctl	0
-780	ipf_log_read	0
-786	ipf_log_data_waiting	0
-792	ipf_set_notify_mask	0
-798	ipf_set_interrupt_mask	0
-804	freeaddrinfo	0
-810	getaddrinfo	0
-816	gai_strerror	0
-822	getnameinfo	1
-828	reserved	0
-834	reserved	0
-840	reserved	0
-846	reserved	1
-852	reserved	0
-858	reserved	0
-882	if_nametoindex	0
-888	if_indextoname	0
-894	if_nameindex	0
-900	if_freenameindex	0
