offset	lvo	aminet_callers	our_tool_mentions
-30	socket	552	114
-36	bind	245	7
-42	listen	185	19
-48	accept	188	40
-54	connect	451	21
-60	sendto	189	1
-66	send	623	76
-72	recvfrom	161	2
-78	recv	562	13
-84	shutdown	184	5
-90	setsockopt	290	1
-96	getsockopt	111	1
-102	getsockname	142	1
-108	getpeername	113	0
-114	IoctlSocket	291	1
-120	CloseSocket	609	3
-126	WaitSelect	370	17
-132	SetSocketSignals	31	0
-138	getdtablesize	32	0
-144	ObtainSocket	174	0
-150	ReleaseSocket	59	0
-156	ReleaseCopyOfSocket	19	0
-162	Errno	231	5
-168	SetErrnoPtr	87	0
-174	Inet_NtoA	249	0
-180	inet_addr	230	0
-186	Inet_LnaOf	94	0
-192	Inet_NetOf	96	0
-198	Inet_MakeAddr	86	0
-204	inet_network	35	1
-210	gethostbyname	498	7
-216	gethostbyaddr	170	4
-222	getnetbyname	51	1
-228	getnetbyaddr	9	0
-234	getservbyname	116	4
-240	getservbyport	19	0
-246	getprotobyname	37	0
-252	getprotobynumber	6	0
-258	vsyslog	190	0
-264	Dup2Socket	83	0
-270	sendmsg	9	0
-276	recvmsg	2	0
-282	gethostname	191	2
-288	gethostid	22	1
-294	SocketBaseTagList	328	0
-300	GetSocketEvents	5	0
-366	bpf_open	2	2
-372	bpf_close	9	1
-378	bpf_read	1	3
-384	bpf_write	8	0
-390	bpf_set_notify_mask	0	0
-396	bpf_set_interrupt_mask	7	0
-402	bpf_ioctl	0	1
-408	bpf_data_waiting	6	1
-414	AddRouteTagList	1	0
-420	DeleteRouteTagList	0	0
-426	ChangeRouteTagList	0	0
-432	FreeRouteInfo	0	0
-438	GetRouteInfo	0	0
-444	AddInterfaceTagList	0	0
-450	ConfigureInterfaceTagList	0	0
-456	ReleaseInterfaceList	10	0
-462	ObtainInterfaceList	10	0
-468	QueryInterfaceTagList	10	0
-474	CreateAddrAllocMessageA	0	0
-480	DeleteAddrAllocMessage	0	0
-486	BeginInterfaceConfig	0	0
-492	AbortInterfaceConfig	1	0
-498	AddNetMonitorHookTagList	1	0
-504	RemoveNetMonitorHook	0	0
-510	GetNetworkStatistics	0	0
-516	AddDomainNameServer	0	0
-522	RemoveDomainNameServer	0	0
-528	ReleaseDomainNameServerList	0	1
-534	ObtainDomainNameServerList	0	3
-540	setnetent	0	0
-546	endnetent	0	0
-552	getnetent	3	0
-558	setprotoent	0	0
-564	endprotoent	0	0
-570	getprotoent	0	0
-576	setservent	0	0
-582	endservent	0	0
-588	getservent	1	0
-594	inet_aton	1	0
-600	inet_ntop	0	4
-606	inet_pton	2	4
-612	In_LocalAddr	1	0
-618	In_CanForward	0	0
-624	mbuf_copym	0	0
-630	mbuf_copyback	0	0
-636	mbuf_copydata	0	0
-642	mbuf_free	0	0
-648	mbuf_freem	0	0
-654	mbuf_get	0	0
-660	mbuf_gethdr	0	0
-666	mbuf_prepend	0	0
-672	mbuf_cat	0	0
-678	mbuf_adj	0	0
-684	mbuf_pullup	1	0
-690	ProcessIsServer	13	0
-696	ObtainServerSocket	0	0
-702	GetDefaultDomainName	0	3
-708	SetDefaultDomainName	0	0
-714	ObtainRoadshowData	0	0
-720	ReleaseRoadshowData	0	0
-726	ChangeRoadshowData	0	0
-732	RemoveInterface	0	0
-738	gethostbyname_r	0	0
-744	gethostbyaddr_r	3	0
-762	ipf_open	0	0
-768	ipf_close	0	0
-774	ipf_ioctl	0	0
-780	ipf_log_read	0	0
-786	ipf_log_data_waiting	0	0
-792	ipf_set_notify_mask	1	0
-798	ipf_set_interrupt_mask	11	0
-804	freeaddrinfo	0	2
-810	getaddrinfo	0	9
-816	gai_strerror	1	0
-822	getnameinfo	1	0
-882	if_nametoindex	1	1
-888	if_indextoname	0	0
-894	if_nameindex	1	0
-900	if_freenameindex	1	0
